name,id,origin date,status,type,street,city,state,zip
"PURPLE DOG WEB PRODUCTIONS, LLC",0770110,2004-01-05,Active,Domestic Limited Liability Company,13 BEECH TREE RIDGE,KILLINGWORTH,CT,06419
RAMBLING DOG PUBLICATIONS LLC,0879442,2006-11-17,Active,Domestic Limited Liability Company,229 MILE COMMON RD,EASTON,CT,06612
"RAW DOGS, LLC",0835067,2005-09-27,Active,Domestic Limited Liability Company,78B MICHAEL RD,NEW LONDON,CT,06320
"RED DOG COMPANY, LLC",0650899,2000-05-08,Active,Domestic Limited Liability Company,195 SOUND BEACH AVENUE,OLD GREENWICH,CT,06870
"RED DOG DEVELOPMENT, INC.",0675886,2001-03-13,Active,Corporation,,,,
RED DOG ESTATES LLC,1157891,2014-10-22,Active,Domestic Limited Liability Company,242 HUBBARD STREET,GLASTONBURY,CT,06033
"RED DOG INVESTMENTS, LLC",0791055,2004-07-19,Active,Domestic Limited Liability Company,71 STONY CREEK RD.,BRANFORD,CT,06405
"RED DOG MARKETING, INC.",1021081,2010-11-18,Active,Corporation,,,,
"RED DOG REALTY, INC.",1141616,2014-04-24,Active,Corporation,18 COUNTRY CLUB DRIVE,WESTFIELD,MA,01085
"RED DOG SALOON CAFE, INC.",0174211,1985-09-17,Active,Corporation,222 MERIDEN ROAD,MIDDLEFIELD,CT,06455
"RED DOG WOOD, LLC",0655332,2000-06-27,Active,Domestic Limited Liability Company,249 SPENCER ST.,MANCHESTER,CT,06040
"REIGNING CATS N' DOGS, LLC",0948353,2008-08-27,Active,Domestic Limited Liability Company,679 WEST MAIN STREET,BRANFORD,CT,06405
"RELISH MY HOT DOG, LLC",0977565,2009-07-14,Active,Domestic Limited Liability Company,4 COLD SPRING ROAD,WEST HAVEN,CT,06516
"RESCUE DOG REALTY, LLC",1154533,2014-09-15,Active,Domestic Limited Liability Company,1190 MARION AVENUE,MARION,CT,06444
"RESCUE DOG VILLAGE GUARDIAN, INC.",1151326,2014-08-05,Active,Corporation,5 WEBSTER DRIVE 1,PRESTON,CT,06365
RICHIE'S HOT DOG'S LLC,1212712,2016-07-25,Active,Domestic Limited Liability Company,1947 BROAD ST,HARTFORD,CT,06114
"RIDGEFIELD DOG SPA, LLC",1148195,2014-07-09,Active,Domestic Limited Liability Company,"37 DANBURY RD., STE. 103",RIDGEFIELD,CT,06877
"RIVER DOG MUSIC FESTIVAL, LLC",0907309,2007-07-23,Active,Domestic Limited Liability Company,56 MIDDLESEX AVENUE,CHESTER,CT,06412
RIVER DOG PRINTS LLC,0950445,2008-09-23,Active,Domestic Limited Liability Company,50 FORGE DR,AVON,CT,06001
"ROAD DOG GYM, INC.",0510488,1995-01-18,Active,Corporation,15 OLD HARTFORD RD.,COLCHESTER,CT,06415
"SALTWATER DOG RESCUE, INC.",1112011,2013-07-03,Active,Corporation,17 HARMONY HILL ROAD,HARWINTON,CT,06791
"SALTY DOG, INC.",0603705,1998-10-01,Active,Corporation,130 SHORE DRIVE,BRANFORD,CT,06405
"SALTY DOG SALOON, LLC",0823935,2005-06-07,Active,Domestic Limited Liability Company,29 CENTER STREET,NEW HAVEN,CT,06510
"SALTY RED DOG MARKETING, LLC",1204824,2016-04-28,Active,Domestic Limited Liability Company,"188 FLAX HILL ROAD, UNIT B1",NORWALK,CT,06854
SARA GREGWARE PROFESSIONAL DOG HANDLING & TRAINING LLC,0836104,2005-10-07,Active,Domestic Limited Liability Company,46 ROCK HOUSE RD,GOSHEN,CT,06756
"SAVE ME A SPOT! DOG RESCUE, INC.",0963611,2009-02-20,Active,Corporation,57 QUARRY ROAD,GRANBY,CT,06035
"SAVVYSNOOTS DOG TRAINING, LLC",1058470,2012-01-12,Active,Domestic Limited Liability Company,"26 BELDEN AVE., #2427",NORWALK,CT,06850
SEA DOG BREWING CO.,0521306,1995-08-25,Active,Corporation,26 FRONT ST,BANGOR,ME,04401
"SEA DOG REALTY, LLC",0706654,2002-02-26,Active,Domestic Limited Liability Company,"106 MASON ISLAND ROAD, 106 MASONS ISLAND ROAD, 106 MASONS ISLAND ROAD",MYSTIC,CT,06355
"SEA WORTHY DOGS, INC.",1201855,2016-03-30,Active,Corporation,165 SHADBUSH DR.,COLCHESTER,CT,06415
"SECRET LAKE DOG TRAINING, LLC",0787019,2004-06-07,Active,Domestic Limited Liability Company,35 LAKEVIEW BLVD,AVON,CT,06001
"SHAVE AND A HAIRCUT MOBILE DOG GROOMING, LLC",0885821,2007-01-19,Active,Domestic Limited Liability Company,98 TWIN POND ROAD,THOMASTON,CT,06787
"SICK AS A DOG, INC.",0277253,1992-09-08,Active,Corporation,60 LEACH HOLLOW RD.,SHERMAN,CT,06784
SILENT DOG ENTERPRISES LLC,1044951,2011-08-03,Active,Domestic Limited Liability Company,"597 WESTPORT AVENUE, APT. B541",NORWALK,CT,06851
"SIRIUS POSITIVE DOG TRAINING, LLC",1211578,2016-07-01,Active,Domestic Limited Liability Company,22 STILL HILL ROAD,SANDY HOOK,CT,06482
"SIT & STAY DOG GROOMING, LLC",0923427,2008-01-03,Active,Domestic Limited Liability Company,1387 MIDDLETOWN AVE.,NORTHFORD,CT,06472
"SKINLESS DOGS, LLC",1066530,2012-03-26,Active,Domestic Limited Liability Company,400 HOLLISTER STREET,STRATFORD,CT,06615
"SLEEPING DOGS ASSOCIATES, LLC",0663265,2000-10-11,Active,Domestic Limited Liability Company,535 NORTH STREET,GREENWICH,CT,06830
